RUN_NAME,Mean,Stdv,Mins,Maxs,Range,STATION_FACTOR,TURB_INT,TREND_CORR_TI
200410211340,4.23,14.53,-56.50,60.10,116.60,999.0,999.0,999.0
200410211350,1.59,12.99,-68.90,61.80,130.70,999.0,999.0,999.0
200410211400,2.27,13.38,-49.20,55.00,104.20,999.0,999.0,999.0
200410211410,1.68,12.78,-50.80,70.80,121.60,999.0,999.0,999.0
200410211420,4.10,13.03,-51.40,99.20,150.60,999.0,999.0,999.0
200410211430,0.05,12.13,-53.80,56.90,110.70,999.0,999.0,999.0
200410211440,7.88,13.58,-63.70,60.00,123.70,999.0,999.0,999.0
200410211450,4.25,12.58,-50.00,52.60,102.60,999.0,999.0,999.0
200410211500,5.48,13.22,-44.00,64.60,108.60,999.0,999.0,999.0
200410211510,1.71,13.26,-52.30,66.50,118.80,999.0,999.0,999.0
200410211520,2.89,12.45,-60.00,51.10,111.10,999.0,999.0,999.0
200410211530,2.86,13.97,-62.20,59.80,122.00,999.0,999.0,999.0
200410211540,358.02,13.00,-59.50,43.30,102.80,999.0,999.0,999.0
200410211550,2.10,13.35,-63.80,59.40,123.20,999.0,999.0,999.0
200410211600,2.15,12.64,-52.90,51.60,104.50,999.0,999.0,999.0
200410211610,3.53,13.15,-61.80,61.70,123.50,999.0,999.0,999.0
200410211620,3.09,13.02,-62.90,55.50,118.40,999.0,999.0,999.0
200410211630,1.84,14.14,-56.10,44.50,100.60,999.0,999.0,999.0
200410211640,1.92,12.87,-51.00,47.10,98.10,999.0,999.0,999.0
200410211650,359.14,12.60,-50.00,44.60,94.60,999.0,999.0,999.0
200410211700,1.50,13.33,-61.40,48.40,109.80,999.0,999.0,999.0
200410211710,3.06,13.73,-57.60,59.60,117.20,999.0,999.0,999.0
200410211720,3.39,13.56,-75.80,55.10,130.90,999.0,999.0,999.0
200410211730,359.26,13.47,-61.90,51.50,113.40,999.0,999.0,999.0
200410211740,5.56,14.00,-51.00,45.90,96.90,999.0,999.0,999.0
200410211750,7.51,13.49,-49.00,49.70,98.70,999.0,999.0,999.0
200410211800,2.55,12.60,-51.70,42.70,94.40,999.0,999.0,999.0
200410211810,3.70,12.78,-50.80,56.80,107.60,999.0,999.0,999.0
200410211820,359.26,13.00,-64.80,44.30,109.10,999.0,999.0,999.0
200410211830,2.17,13.76,-60.90,61.20,122.10,999.0,999.0,999.0
200410211840,4.79,11.78,-52.00,42.30,94.30,999.0,999.0,999.0
200410211850,3.93,12.45,-56.80,50.40,107.20,999.0,999.0,999.0
200410211900,4.45,12.26,-62.50,47.20,109.70,999.0,999.0,999.0
200410211910,4.36,11.39,-45.90,50.10,96.00,999.0,999.0,999.0
200410211920,7.88,10.31,-52.70,59.30,112.00,999.0,999.0,999.0
200410211930,4.70,10.67,-42.90,49.00,91.90,999.0,999.0,999.0
200410211940,4.55,10.37,-53.00,50.00,103.00,999.0,999.0,999.0
200410211950,5.88,10.79,-40.50,42.20,82.70,999.0,999.0,999.0
200410212000,1.68,12.67,-48.50,43.20,91.70,999.0,999.0,999.0
200410212010,359.44,13.23,-55.90,49.20,105.10,999.0,999.0,999.0
200410212020,0.44,13.63,-55.90,53.20,109.10,999.0,999.0,999.0
200410212030,1.26,11.97,-52.00,39.50,91.50,999.0,999.0,999.0
200410212040,3.31,12.98,-54.30,86.50,140.80,999.0,999.0,999.0
200410212050,8.64,11.61,-49.90,47.60,97.50,999.0,999.0,999.0
200410212100,8.72,10.73,-44.20,50.20,94.40,999.0,999.0,999.0
200410212110,8.00,11.10,-40.30,60.00,100.30,999.0,999.0,999.0
200410212120,9.30,11.51,-35.60,57.10,92.70,999.0,999.0,999.0
200410212130,12.39,11.43,-54.00,63.20,117.20,999.0,999.0,999.0
200410212140,13.24,11.81,-49.60,58.50,108.10,999.0,999.0,999.0
200410212150,10.73,12.93,-51.00,59.00,110.00,999.0,999.0,999.0
200410212200,8.66,12.65,-51.20,58.70,109.90,999.0,999.0,999.0
200410212210,8.25,12.81,-45.80,62.10,107.90,999.0,999.0,999.0
200410212220,9.13,12.54,-43.30,64.20,107.50,999.0,999.0,999.0
200410212230,10.56,11.77,-42.80,61.00,103.80,999.0,999.0,999.0
200410212240,10.57,12.39,-40.80,60.30,101.10,999.0,999.0,999.0
200410212250,8.94,11.45,-37.60,54.00,91.60,999.0,999.0,999.0
200410212300,8.12,12.78,-49.50,55.40,104.90,999.0,999.0,999.0
200410212310,9.19,12.82,-47.20,51.80,99.00,999.0,999.0,999.0
200410212320,11.18,12.79,-47.40,65.80,113.20,999.0,999.0,999.0
200410212330,12.18,13.50,-39.40,80.30,119.70,999.0,999.0,999.0
200410212340,13.54,13.52,-32.20,65.30,97.50,999.0,999.0,999.0
200410212350,12.24,12.84,-40.20,55.00,95.20,999.0,999.0,999.0
200411161010,1.10,9.70,-40.80,36.10,76.90,999.0,999.0,999.0
200411161410,3.22,8.36,-37.30,39.40,76.70,999.0,999.0,999.0
200411161420,3.89,8.38,-35.90,38.30,74.20,999.0,999.0,999.0
200411170400,6.74,4.82,-12.00,26.40,38.40,999.0,999.0,999.0
200411170410,4.16,5.21,-26.00,27.60,53.60,999.0,999.0,999.0
200411170420,4.43,5.74,-20.10,27.60,47.70,999.0,999.0,999.0
200411170430,4.73,6.21,-21.40,24.40,45.80,999.0,999.0,999.0
200411170440,7.22,4.75,-19.80,30.30,50.10,999.0,999.0,999.0
200411170450,4.82,5.83,-32.80,24.10,56.90,999.0,999.0,999.0
200411170500,5.98,5.26,-17.70,25.50,43.20,999.0,999.0,999.0
200411170510,4.84,6.13,-16.60,28.70,45.30,999.0,999.0,999.0
200411170520,3.67,7.04,-34.90,25.90,60.80,999.0,999.0,999.0
200411170530,0.79,8.32,-28.30,26.50,54.80,999.0,999.0,999.0
200411170540,1.40,8.41,-33.70,30.10,63.80,999.0,999.0,999.0
200411170550,357.69,7.79,-33.30,25.70,59.00,999.0,999.0,999.0
200411170600,5.37,8.82,-28.90,35.60,64.50,999.0,999.0,999.0
200411170610,13.60,13.25,-31.90,59.10,91.00,999.0,999.0,999.0
200411170620,349.76,12.54,-53.50,30.90,84.40,999.0,999.0,999.0
200411170630,350.72,11.08,-47.70,25.60,73.30,999.0,999.0,999.0
200411170640,2.30,7.38,-33.30,30.20,63.50,999.0,999.0,999.0
200411170650,6.98,7.08,-25.00,32.10,57.10,999.0,999.0,999.0
200411170700,14.51,6.41,-13.90,33.60,47.50,999.0,999.0,999.0
200411170710,4.28,8.43,-25.40,35.10,60.50,999.0,999.0,999.0
200411170720,1.67,7.23,-36.80,24.60,61.40,999.0,999.0,999.0
200411170730,5.38,5.43,-19.10,26.40,45.50,999.0,999.0,999.0
200411170740,6.57,6.32,-15.60,31.70,47.30,999.0,999.0,999.0
200411170750,8.48,6.83,-13.90,33.80,47.70,999.0,999.0,999.0
200411170800,1.79,7.09,-30.20,28.60,58.80,999.0,999.0,999.0
200411170810,348.39,8.15,-44.50,14.80,59.30,999.0,999.0,999.0
200411170820,352.86,8.01,-46.00,14.60,60.60,999.0,999.0,999.0
200411170830,3.36,5.42,-21.30,20.50,41.80,999.0,999.0,999.0
200411170840,1.91,5.41,-23.10,29.50,52.60,999.0,999.0,999.0
200411170850,359.87,6.27,-22.00,23.50,45.50,999.0,999.0,999.0
