RUN_NAME,Mean,Stdv,Mins,Maxs,Range,STATION_FACTOR,TURB_INT,TREND_CORR_TI
200411211410,5.28,0.62,3.54,7.16,3.63,999.0,11.7,11.7
200411211420,4.55,0.58,3.08,6.10,3.01,999.0,12.7,12.7
200411211430,4.36,0.51,2.80,5.82,3.02,999.0,11.6,11.6
200411211440,4.27,0.42,2.98,6.14,3.16,999.0,9.9,9.9
200411211450,3.94,0.45,2.64,5.18,2.53,999.0,11.5,11.5
200411211500,3.73,0.43,2.47,5.14,2.67,999.0,11.4,11.4
200411211510,3.02,0.35,2.06,3.84,1.78,999.0,11.7,11.7
200411211520,2.98,0.23,2.39,3.70,1.31,999.0,7.7,7.7
200411211530,2.90,0.17,2.29,3.50,1.21,999.0,5.9,5.9
200411211540,2.65,0.21,1.83,3.31,1.49,999.0,8.1,8.1
200411211550,2.11,0.27,1.48,3.19,1.72,999.0,12.6,12.6
200411211600,2.42,0.49,1.78,3.39,1.61,999.0,20.1,20.1
200411211610,3.29,0.13,2.82,3.61,0.79,999.0,4.0,4.0
200411211620,2.25,0.49,1.14,3.11,1.97,999.0,21.9,21.9
200411211630,1.95,0.33,1.06,2.68,1.62,999.0,16.8,16.8
200411211930,4.95,0.48,2.89,6.26,3.37,999.0,9.7,9.7
200411211940,5.30,0.26,4.48,6.26,1.78,999.0,4.8,4.8
200411211950,5.31,0.22,4.55,6.02,1.47,999.0,4.2,4.2
200411212000,5.31,0.23,4.59,6.25,1.66,999.0,4.4,4.4
200411212010,5.44,0.19,4.56,6.12,1.56,999.0,3.4,3.4
200411212020,5.93,0.34,4.79,6.89,2.10,999.0,5.7,5.7
200411212030,6.55,0.30,5.30,7.68,2.38,999.0,4.6,4.6
200411212040,6.41,0.46,4.66,8.26,3.61,999.0,7.1,7.1
200411212050,6.64,0.50,4.96,8.23,3.27,999.0,7.6,7.6
200411212100,6.82,0.54,4.67,8.55,3.88,999.0,7.9,7.9
200411212110,6.75,0.58,4.89,8.90,4.01,999.0,8.6,8.6
200411212120,6.93,0.66,4.73,9.49,4.76,999.0,9.6,9.6
200411212130,7.36,0.66,5.31,9.47,4.16,999.0,9.0,9.0
200411212140,7.84,0.70,4.86,10.11,5.24,999.0,9.0,9.0
200411212150,7.58,0.77,5.02,10.33,5.31,999.0,10.1,10.1
200411212200,7.53,0.69,5.33,9.83,4.50,999.0,9.2,9.2
200411212210,6.86,0.80,4.62,9.28,4.66,999.0,11.6,11.6
200411212220,6.94,0.70,4.52,9.31,4.79,999.0,10.2,10.2
200411212230,6.92,0.72,4.77,9.73,4.95,999.0,10.4,10.4
200411212240,6.70,0.64,4.42,8.88,4.46,999.0,9.5,9.5
200411212250,6.57,0.66,4.47,8.51,4.04,999.0,10.1,10.1
200411212300,7.16,0.67,4.94,9.08,4.14,999.0,9.3,9.3
200411212310,6.91,0.64,4.64,8.63,3.99,999.0,9.2,9.2
200411212320,7.03,0.77,4.52,9.66,5.14,999.0,10.9,10.9
