RUN_NAME,Mean,Stdv,Mins,Maxs,Range,STATION_FACTOR,TURB_INT,TREND_CORR_TI
200410211340,55.91,86.25,-108.80,220.90,329.70,999.0,999.0,999.0
200410211350,60.22,85.54,-117.00,228.90,345.90,999.0,999.0,999.0
200410211400,54.55,86.17,-108.60,219.70,328.30,999.0,999.0,999.0
200410211410,61.92,86.49,-106.60,228.00,334.60,999.0,999.0,999.0
200410211420,62.40,85.66,-101.20,226.40,327.60,999.0,999.0,999.0
200410211430,65.27,85.72,-91.80,223.00,314.80,999.0,999.0,999.0
200410211440,58.48,85.27,-99.60,220.90,320.50,999.0,999.0,999.0
200410211450,60.24,84.88,-97.80,218.30,316.10,999.0,999.0,999.0
200410211500,54.49,85.45,-103.20,228.00,331.20,999.0,999.0,999.0
200410211510,29.46,84.96,-193.90,209.30,403.20,999.0,999.0,999.0
200410211520,51.06,85.78,-115.20,211.60,326.80,999.0,999.0,999.0
200410211530,48.75,85.38,-114.90,211.30,326.20,999.0,999.0,999.0
200410211540,41.12,85.89,-113.20,201.40,314.60,999.0,999.0,999.0
200410211550,51.61,85.43,-107.60,213.30,320.90,999.0,999.0,999.0
200410211600,31.71,85.25,-117.70,193.80,311.50,999.0,999.0,999.0
200410211610,48.69,85.52,-118.70,203.80,322.50,999.0,999.0,999.0
200410211620,34.03,86.47,-116.30,205.00,321.30,999.0,999.0,999.0
200410211630,28.76,85.84,-120.30,190.80,311.10,999.0,999.0,999.0
200410211640,25.93,85.52,-121.50,173.60,295.10,999.0,999.0,999.0
200410211650,39.63,86.46,-122.20,225.20,347.40,999.0,999.0,999.0
200410211700,37.39,85.89,-122.10,208.90,331.00,999.0,999.0,999.0
200410211710,33.58,85.76,-115.80,204.60,320.40,999.0,999.0,999.0
200410211720,40.09,85.70,-120.40,202.30,322.70,999.0,999.0,999.0
200410211730,26.92,85.74,-117.40,182.50,299.90,999.0,999.0,999.0
200410211740,25.73,84.70,-122.90,175.00,297.90,999.0,999.0,999.0
200410211750,19.06,84.69,-122.80,162.70,285.50,999.0,999.0,999.0
200410211800,14.68,85.04,-125.80,163.10,288.90,999.0,999.0,999.0
200410211810,17.44,85.34,-125.50,172.20,297.70,999.0,999.0,999.0
200410211820,19.20,85.53,-125.30,175.40,300.70,999.0,999.0,999.0
200410211830,21.44,84.87,-122.30,183.50,305.80,999.0,999.0,999.0
200410211840,14.93,84.90,-126.30,180.90,307.20,999.0,999.0,999.0
200410211850,16.92,84.59,-124.30,170.50,294.80,999.0,999.0,999.0
200410211900,14.03,84.49,-125.90,156.30,282.20,999.0,999.0,999.0
200410211910,16.35,84.36,-128.90,168.30,297.20,999.0,999.0,999.0
200410211920,11.60,84.75,-124.10,158.30,282.40,999.0,999.0,999.0
200410211930,13.10,84.66,-124.80,162.60,287.40,999.0,999.0,999.0
200410211940,12.54,83.84,-124.50,153.60,278.10,999.0,999.0,999.0
200410211950,12.07,83.82,-123.70,153.90,277.60,999.0,999.0,999.0
200410212000,19.22,84.62,-124.80,171.30,296.10,999.0,999.0,999.0
200410212010,23.99,85.33,-124.10,182.90,307.00,999.0,999.0,999.0
200410212020,23.20,85.15,-121.80,176.30,298.10,999.0,999.0,999.0
200410212030,19.93,84.03,-122.00,182.20,304.20,999.0,999.0,999.0
200410212040,22.04,85.01,-125.30,175.90,301.20,999.0,999.0,999.0
200410212050,21.02,84.07,-125.50,172.20,297.70,999.0,999.0,999.0
200410212100,19.04,84.91,-123.30,168.60,291.90,999.0,999.0,999.0
200410212110,22.73,83.50,-122.40,172.40,294.80,999.0,999.0,999.0
200410212120,23.43,82.33,-133.00,172.10,305.10,999.0,999.0,999.0
200410212130,24.76,81.90,-119.10,172.10,291.20,999.0,999.0,999.0
200410212140,21.62,81.05,-125.30,174.10,299.40,999.0,999.0,999.0
200410212150,23.83,80.79,-126.90,180.00,306.90,999.0,999.0,999.0
200410212200,26.82,81.73,-118.90,193.80,312.70,999.0,999.0,999.0
200410212210,27.97,82.42,-119.90,182.60,302.50,999.0,999.0,999.0
200410212220,25.73,82.52,-126.70,171.10,297.80,999.0,999.0,999.0
200410212230,25.40,82.82,-118.70,176.80,295.50,999.0,999.0,999.0
200410212240,27.73,82.65,-118.60,184.30,302.90,999.0,999.0,999.0
200410212250,21.80,82.32,-122.40,173.90,296.30,999.0,999.0,999.0
200410212300,21.36,82.66,-120.90,181.60,302.50,999.0,999.0,999.0
200410212310,29.03,83.00,-117.90,186.90,304.80,999.0,999.0,999.0
200410212320,29.59,81.51,-126.50,179.10,305.60,999.0,999.0,999.0
200410212330,24.13,81.72,-124.10,186.10,310.20,999.0,999.0,999.0
200410212340,23.45,81.22,-126.90,168.00,294.90,999.0,999.0,999.0
